DUNS_NUMBER;CAE1;NOME;MORADA;LOCALIDADE;COD_POSTAL;ENDERECO_POSTAL;CONCELHO;DISTRITO;TELEFONE;FAX;EMAIL;WEBSITE;NUMERO_CONTRIBUINTE;VENDAS;EMPREGADOS;FUNCAO_E7;TITULO_ACADEMICO_E7;NOME_E7
449001700;62030;COMPANHIA I.B.M. PORTUGUESA, S.A.;RUA DO MAR DA CHINA, LOTE 1.07.2.3 EDIFÍCIO OFFICE ORIENTE - PARQUE DAS NAÇÕES;LISBOA;1990-138;LISBOA;LISBOA;LISBOA;218927000;218927166;direct_pt@vnet.ibm.com;www.ibm.com/pt;500068801;291400146;580;Director de Marketing;Dra.;Maria da Conceição Zagalo
449002047;49100;CP - COMBOIOS DE PORTUGAL, E.P.E.;CALÇADA DO DUQUE, 14/16/18/20;LISBOA;1249-109;LISBOA;LISBOA;LISBOA;211023000;211023878;webmaster@mail.cp.pt;www.cp.pt;500498601;290267044;4572;Director de Marketing;Dra.;Ana Portela
449001346;61200;COMPANHIA PORTUGUESA RADIO MARCONI, S.A.;AVENIDA DOM JOÃO II, LOTE 1.16 - PARQUE DAS NAÇÕES;LISBOA;1990-083;LISBOA;LISBOA;LISBOA;215010000;215010002;webmaster@marconi.pt;www.marconi.pt;500069131;288538763;338;Director de Marketing;Dra.;Manuela Serrão
338178932;47192;FNAC PORTUGAL - ACTIVIDADES CULTURAIS E DISTRIBUIÇÃO DE LIVROS, DISCOS MULTIMÉDIA E PRODUTOS TÉCNICOS, LDA;RUA PROFESSOR CARLOS ALBERTO MOTA PINTO, 9 6ºB - EDIFÍCIO AMOREIRAS PLAZA;LISBOA;1070-374;LISBOA;LISBOA;LISBOA;219404700;219404704;amoreiras@fnac.pt;www.fnac.pt;503952230;280371210;1471;Director de Marketing;;Marianne Willot
449001312;41200;EDIFER - CONSTRUÇÕES PIRES COELHO & FERNANDES, S.A.;ESTRADA SEMINÁRIO, 4 - EDIFÍCIO EDIFER;AMADORA;2610-171;AMADORA;AMADORA;LISBOA;214759000;214759000;geral@edifer.pt;www.edifer.pt;500090114;277069815.8;733;Director de Marketing;Dr.;Dinis Marques da Silva
453247512;46520;NOKIA PORTUGAL, S.A.;EDIFÍCIO LAGOAS PARK, EDIFÍCIO 5 C 4º;PORTO SALVO;2740-298;PORTO SALVO;OEIRAS;LISBOA;214465600;214465602;fabian.andrade@nokia.com;www.nokia.pt;502494557;274850642.6;27;Director de Marketing;Dra.;Cecile Mengoli
450167671;42110;MONTEADRIANO - ENGENHARIA E CONSTRUÇÃO, S.A.;RUA MARIA DA PAZ VARZIM, 116;PÓVOA DE VARZIM;4490-658;PÓVOA DE VARZIM;PÓVOA DE VARZIM;PORTO;252291300;252291310;geral@monteadriano.pt;www.grupomonteadriano.com;501112308;272192556.8;1058;Director de Marketing;Dra.;Mafalda Raquel Oliveira Gonçalves
336764662;11072;SUMOL+COMPAL MARCAS, S.A.;ESTRADA PORTELA, 9 - EDIFÍCIO SUMOL;CARNAXIDE;2790-124;CARNAXIDE;OEIRAS;LISBOA;214243500;212487774;sumolis@gruposumol.pt;;505042037;271317631.1;860;Director de Marketing;Dr.;João Nuno Pinto
450497284;46430;SAMSUNG - ELECTRÓNICA PORTUGUESA, S.A.;LAGOAS PARK, EDIFÍCIO 5B PISO 0;PORTO SALVO;2740-298;PORTO SALVO;OEIRAS;LISBOA;214251000;214251030;l.pereira@samsung.com;www.samsung.com/pt;501325301;266600239.2;91;Director de Marketing;Dra.;Ana Marta Heleno
450438577;11050;UNICER - UNIÃO CERVEJEIRA, S.A.;VIA NORTE;SÃO MAMEDE DE INFESTA;4465-000;SÃO MAMEDE DE INFESTA;MATOSINHOS;PORTO;229052100;229052300;info@unicer.pt;;500820155;265347552.4;1615;Director de Marketing;Dr.;João Manuel Sampaio
450475108;46460;COOPROFAR - COOPERATIVA DOS PROPRIETÁRIOS DE FARMÁCIA, C.R.L.;RUA PEDRO JOSÉ FERREIRA, 200/210 - ZONA INDUSTRIAL DA PORTELINHA;GONDOMAR;4420-612;GONDOMAR;GONDOMAR;PORTO;223401000;223401050;cooprofar@cooprofar.pt;www.cooprofar.pt;500336512;260584767.6;160;Director de Marketing;Dra.;Natércia Moreira
453417107;11050;SCC - SOCIEDADE CENTRAL DE CERVEJAS, S.A.;ESTRADA DA ALFARROBEIRA;VIALONGA;2626-851;VIALONGA;VILA FRANCA DE XIRA;LISBOA;219528600;219520838;scc@centralcervejas.pt;www.centralcervejas.pt;502465417;257360023.9;800;Director de Marketing;;Manuela Botelho
449174564;46460;UNIÃO DOS FARMACÊUTICOS DE PORTUGAL, C.R.L.;RUA CIDADE DE HULL, 2;AGUALVA-CACÉM;2735-211;AGUALVA-CACÉM;SINTRA;LISBOA;214339000;214339071;geral@uniaofp.pt;;500292060;252953760;88;Director de Marketing;Dr.;Frederico Fialho
336699611;47591;IKEA PORTUGAL - MÓVEIS E DECORAÇÃO, LDA;ESTRADA NACIONAL 117 - ZONA INDUSTRIAL DE ALFRAGIDE;AMADORA;2614-520;AMADORA;AMADORA;LISBOA;214705000;214705012;sonia.diogo@memo.ikea.com;www.ikea.pt;505416654;250901322.2;942;Director de Marketing;;Rita Marques
454599911;46510;COMPAQ COMPUTER PORTUGAL, LDA;RUA DOUTOR ANTONIO LOUREIRO BORGES, 7A 7º - EMPREENDIMENTO ARQUIPARQUE;MIRAFLORES;1495-131;ALGÉS;OEIRAS;LISBOA;214128400;214120654;suporte.portugal@compaq.com;www.compaq.pt;503121460;239070167.2;160;Director de Marketing;Dr.;João Mouro
450448428;46492;VASP - DISTRIBUIDORA DE PUBLICAÇÕES, LDA;MEDIA LOGISTICS PARK - QUINTA DO GRAJAL - VENDA SECA;AGUALVA-CACÉM;2739-511;AGUALVA-CACÉM;SINTRA;LISBOA;214337000;214326009;geral@vasp.pt;www.vasp.pt;500428344;233719763.9;324;Director de Marketing;Dr.;Fernando Guedes Silva
452017312;45110;FGA DISTRIBUIDORA PORTUGAL, S.A.;AVENIDA JOSÉ GOMES FERREIRA, 15 2º - EDIFÍCIO ATLAS IV;MIRAFLORES;1495-139;ALGÉS;OEIRAS;LISBOA;213118422;213118489;fcp_mail@fiatcredito.pt;www.fiatcredito.online.pt;501906517;223829517.9;13;Director de Marketing;Dr.;Nuno Marques
449000231;16294;AMORIM & IRMÃOS, S.A.;RUA DOS CORTICEIROS, 850;SANTA MARIA DE LAMAS;4535-387;SANTA MARIA DE LAMAS;SANTA MARIA DA FEIRA;AVEIRO;227475500;227475501;geral@amorim-irmaos.pt;www.amorimcork.com;500311390;209133374;1270;Director de Marketing;Dr.;Carlos Jesus Veneno
450264130;47540;RÁDIO POPULAR - ELECTRODOMÉSTICOS, S.A.;ESTRADA NACIONAL 14 AO KM 7 - CHIOLO;MAIA;4475-045;MAIA;MAIA;PORTO;229438450;229409601;amilcarveiga@radiopopular.pt;www.radiopopular.pt;500674205;205998848.6;1213;Director de Marketing;;Maria Fátima Ferreira
449184043;42130;CONDURIL - CONSTRUTORA DURIENSE, S.A.;AVENIDA ENGENHEIRO DUARTE PACHECO, 1835;ERMESINDE;4445-416;ERMESINDE;VALONGO;PORTO;229773920;229773920;geral@conduril.mailpac.pt;www.conduril.pt;500070210;203323595.4;1991;Director de Marketing;Eng.;António Baraças de Andrade Miragaia
449189299;41200;LENA ENGENHARIA E CONSTRUÇÕES, S.A.;QUINTA DA SARDINHA;SANTA CATARINA DA SERRA;2495-186;SANTA CATARINA DA SERRA;LEIRIA;LEIRIA;244749100;244749110;lena.c@lenaconstrucoes.pt;www.lenaconstrucoes.pt;500073880;200177320.3;619;Director de Marketing;Dr.;Luis Parreira
449000389;46460;LABORATÓRIOS PFIZER, LDA;LAGOAS PARK, EDIFICIO 10;PORTO SALVO;2740-271;PORTO SALVO;OEIRAS;LISBOA;214235500;214218900;lina.m.poeira@pfizer.com;www.pfizer.pt;500162166;200137191;409;Director de Marketing;Dr.;Stanley Mendonça Almeida
449208370;41200;CASAIS - ENGENHARIA E CONSTRUÇÃO, S.A.;RUA ANJO, 27;MIRE DE TIBÃES;4700-565;MIRE DE TIBÃES;BRAGA;BRAGA;253305400;253305449;imocasais@imocasais.pt;www.casais.pt;500023875;198919909.7;661;Director de Marketing;Dra.;Raquel Silva
449197581;11072;REFRIGE - SOCIEDADE INDUSTRIAL DE REFRIGERANTES, S.A.;QUINTA DA SALMOURA - CABANAS;QUINTA DO ANJO;2951-502;QUINTA DO ANJO;PALMELA;SETÚBAL;212888700;212870280;refpost@mail.telepac.pt;;500658390;196574421.8;426;Director de Marketing;Dr.;Paulo Oliveira
450161356;46430;LG ELECTRONICS PORTUGAL, S.A.;RUA VITOR CÂMARA, EDIFÍCIO DONA AMELIA-2 2. - QUINTA DA FONTE;PAÇO DE ARCOS;2770-229;PAÇO DE ARCOS;OEIRAS;LISBOA;211202200;211202242;teixeira@lge.com;www.lg.com/pt;506425010;191700000;105;Director de Marketing;Dr.;Frederico Paiva
450064324;46370;MANUEL RUI AZINHAIS NABEIRO, LDA;AVENIDA CALOUSTE GULBENKIAN;CAMPO MAIOR;7370-025;CAMPO MAIOR;CAMPO MAIOR;PORTALEGRE;268699200;268688960;geral@delta-cafes.pt;www.delta-cafes.pt;500853975;188067304.4;857;Director de Marketing;Dr.;João Manuel Gonçalves Nabeiro
453089138;25110;MARTIFER - CONSTRUÇÕES METALOMECÂNICAS, S.A.;ZONA INDUSTRIAL;VILARINHO;3684-001;SOUTO DE LAFÕES;OLIVEIRA DE FRADES;VISEU;232767700;263519789;info@martifer.com;www.martifer.com;502303239;185827208.6;807;Director de Marketing;Dra.;Mónica Alves
453619744;46510;COMPUTER 2000 PORTUGUESA, LDA;ESTRADA EXTERIOR DA CIRCUNVALAÇÃO, 13236;SENHORA DA HORA;4460-286;SENHORA DA HORA;MATOSINHOS;PORTO;214728400;229379176;recepcao_pt@techdata.pt;www.techdata.pt;502703628;184290861.3;91;Director de Marketing;;Ladislau Lopes
450257514;10510;DANONE PORTUGAL, S.A.;AVENIDA DOM JOÃO II, LOTE 1.17.02 12. - TORRE FERNÃO DE MAGALHÃES;LISBOA;1998-025;LISBOA;LISBOA;LISBOA;218924100;218924280;danone.portugal@danone.com;www.danone.com;500861064;181580216.9;303;Director de Marketing;Dr.;Frederic Leroy
449000926;60200;RÁDIO E TELEVISÃO DE PORTUGAL, S.A.;AVENIDA MARECHAL GOMES DA COSTA, 37;LISBOA;1800-255;LISBOA;LISBOA;LISBOA;217947000;217947570;;www.rtp.pt;500225680;179269319.2;2392;Director de Marketing;Dr.;Pedro Nunes Pedro
450471438;27320;CABELTE - CABOS ELÉCTRICOS E TELEFÓNICOS, S.A.;RUA ESPÍRITO SANTO;ARCOZELO;4410-420;ARCOZELO VNG;VILA NOVA DE GAIA;PORTO;227537500;227537513;inform@cabelte.pt;www.cabelte.pt;500049572;177884071.3;354;Director de Marketing;Enga.;Marcela Teixeira
455612028;82990;S.P.L.A. - SOCIEDADE PORTUGUESA DE LEILÕES DE AUTOMÓVEIS, S.A.;AVENIDA ANTÓNIO AUGUSTO DE AGUIAR, 38 6º;LISBOA;1050-016;LISBOA;LISBOA;LISBOA;219227300;229284683;geral@bca.com.pt;www.bca.com.pt;503617326;175540937.7;59;Director de Marketing;;Mário Claro
337881333;45110;SEAT PORTUGAL, UNIPESSOAL, LDA;AVENIDA DOM JOÃO II, LOTE 1.07.2.1 R/C - EDIFICIO EXPO 98;LISBOA;1998-014;LISBOA;LISBOA;LISBOA;218918900;218918940;seat@seatportugal.pt;www.seat.pt;506622096;174135336.8;32;Director de Marketing;Dra.;Teresa Lameiras
449826932;47293;COMPANHIA PORTUGUESA DE LOJAS DE DESCONTO, S.A.;QUINTA DAS DROGAS, VERDELHA - B/C/D;ALVERCA DO RIBATEJO;2615-000;ALVERCA DO RIBATEJO;VILA FRANCA DE XIRA;LISBOA;214401200;219588706;minipreco@mail.telepac.pt;www.minipreco.pt;501692347;172127008.9;1066;Director de Marketing;Dr.;Pedro Barbosa Viana
449205517;20144;CUF - QUÍMICOS INDUSTRIAIS, S.A.;LAGOAS PARK, EDIFÍCIO 6 2º;PORTO SALVO;2740-244;PORTO SALVO;OEIRAS;LISBOA;210058600;210058699;quimigal@quimigal.pt;www.cuf-sgps.pt;500832234;171037720.4;186;Director de Marketing;Eng.;José Antonio Magalhães
449407113;41200;FDO - CONSTRUÇÕES, S.A.;RUA BARRIO DE CIMA, 5;SEQUEIRA;4705-629;SEQUEIRA;BRAGA;BRAGA;253609040;253609041;fdo.sa@fdo.pt;www.fdo.pt;501484930;169294569;461;Director de Marketing;Dra.;Renata Veloso Teixeira
449001205;11071;COMPAL - COMPANHIA PRODUTORA DE CONSERVAS ALIMENTARES, S.A.;RUA GENERAL FERREIRA MARTINS, 6;MIRAFLORES;1495-137;ALGÉS;OEIRAS;LISBOA;214129400;214120373;mail@compal.pt;www.compal.com.pt;500068330;167388710.7;638;Director de Marketing;Dr.;José Manuel Doutel Jordão
453267627;20151;ADP FERTILIZANTES, S.A.;ESTRADA NACIONAL 10 - SALGADOS DA PÓVOA;ALVERCA DO RIBATEJO;2615-134;ALVERCA DO RIBATEJO;VILA FRANCA DE XIRA;LISBOA;210300400;210300500;adubos.portugal@-fertilizantes.pt;www.adp-adubosdeportugal.com;502473525;167382168.8;246;Director de Marketing;Eng.;António Santana Fernandes
453107518;26200;J.P.SÁ COUTO, S.A.;RUA GUARDA, 675;PERAFITA;4455-466;PERAFITA;MATOSINHOS;PORTO;229993900;229993995;geral@jpsacouto.pt;www.jpsacouto.pt;502150181;164497728.1;157;Director de Marketing;Dr.;Luís Almeida
449711100;46460;PLURAL - COOPERATIVA FARMACÊUTICA, C.R.L.;RUA ADRIANO LUCAS;COIMBRA;3020-430;COIMBRA;COIMBRA;COIMBRA;239499400;239499440;rassis@mail.telepac.pt;www.farbeira.pt;500349142;164481913;184;Director de Marketing;;Mário Filipe Almeida
449550222;51100;SATA INTERNACIONAL - SERVIÇOS E TRANSPORTES AÉREOS, S.A.;AVENIDA INFANTE DOM HENRIQUE, 55 6º;PONTA DELGADA;9504-528;PONTA DELGADA;PONTA DELGADA;PONTA DELGADA (ILHA DE SÃO MIGUEL);296209763;296209722;reservas@sata.pt;www.sata.pt;512029393;163361167;524;Director de Marketing;Dr.;Luís Filipe Soares Borges da Silveira
337865091;28140;GROHE PORTUGAL - COMPONENTES SANITÁRIOS, LDA;AREEIROS, ZONA INDUSTRIAL;ALBERGARIA-A-VELHA;3850-184;ALBERGARIA-A-VELHA;ALBERGARIA-A-VELHA;AVEIRO;234529900;234529915;comercial@grohe.pt;www.grohe.pt;503611905;161371945.6;631;Director de Marketing;Dr.;Peter Rainer Koppitz
454472036;61100;CABOVISÃO - TELEVISÃO POR CABO, S.A.;POÇOS;POÇOS;2950-425;PALMELA;PALMELA;SETÚBAL;210801080;210830233;info@cabovisao.pt;www.cabovisao.pt;503062081;161153094.4;293;Director de Marketing;;Jose Carlos Soares
454776345;46460;ASTRAZENECA - PRODUTOS FARMACÊUTICOS, LDA;AVENIDA HUMBERTO MADEIRA, 7;QUELUZ DE BAIXO;2730-097;BARCARENA;OEIRAS;LISBOA;214346100;214346192;pr.portugal@astrazeneca.com;;502942240;159452716.5;287;Director de Marketing;;Jesus Ponce
338062169;47781;STAPLES PORTUGAL - EQUIPAMENTO DE ESCRITÓRIO, S.A.;RUA QUINTA DO PINHEIRO, EDIFÍCIO TEJO, 5º;CARNAXIDE;2790-143;CARNAXIDE;OEIRAS;LISBOA;214255800;214175300;;www.staples.pt;503789372;159174621;965;Director de Marketing;Dra.;Olga Frazão
457812683;46460;LEVERELIDA - DISTRIBUIÇÃO DE PRODUTOS DE LIMPEZA E HIGIENE PESSOAL, LDA;LARGO MONTERROIO MASCARENHAS, 1;LISBOA;1099-081;LISBOA;LISBOA;LISBOA;213892000;213892415;info.portugal@unilever.com;www.lever.pt;503933155;157957465.7;122;Director de Marketing;Dr.;Pedro Cabrita Carneiro
449002237;10810;TATE & LYLE AÇUCARES PORTUGAL, S.A.;ESTRADA NACIONAL 10 AO KM 10-6 - QUINTA DO FERRAL;SANTA IRIA DE AZÓIA;2690-364;SANTA IRIA DE AZÓIA;LOURES;LISBOA;219405500;219405566;alcantara@tateandlyle.com;www.sidul.pt;500274460;156816743.4;210;Director de Marketing;Dra.;Silvia Chambel
449001361;45190;AUTO-SUECO, LDA;RUA CONDE COVILHÃ, 1637;PORTO;4100-189;PORTO;PORTO;PORTO;226150300;226150437;info@autosueco.pt;www.autosueco.pt;500038015;155852076.9;521;Director de Marketing;;Pedro Oliveira
449153584;41200;CONSTRUTORA ABRANTINA, S.A.;RUA VIRGILIO CORREIA, 49A;LISBOA;1600-222;LISBOA;LISBOA;LISBOA;217215000;217268906;abrantina@abrantina.pt;www.abrantina.pt;500073791;153703805.9;450;Director de Marketing;Dr.;Luis Barreira
449446405;47591;MOVIFLOR - COMÉRCIO DE MOBILIÁRIO, S.A.;LARGO DA GRAÇA, 28;LISBOA;1199-008;LISBOA;LISBOA;LISBOA;218810290;217251499;707202820@moviflor.pt;www.moviflor.pt;504861190;153557578.2;1400;Director de Marketing;Dra.;Eugénia Dias
453435265;60200;T.V.I. - TELEVISÃO INDEPENDENTE, S.A.;RUA MÁRIO CASTELHANO, 40;QUELUZ DE BAIXO;2734-502;BARCARENA;OEIRAS;LISBOA;214347500;214347654;relacoes.publicas@tvi.pt;www.tvi.iol.pt;502529750;153468465;439;Director de Marketing;;Maria Ana Borges Sousa
449134279;24200;FERPINTA - INDÚSTRIAS DE TUBOS DE AÇO DE FERNANDO PINHO TEIXEIRA, S.A.;ARRIFANINHA;ARRIFANINHA;3720-011;CARREGOSA;OLIVEIRA DE AZEMÉIS;AVEIRO;256411400;256412277;info@ferpinta.pt;www.ferpinta.pt;500113009;144246209;323;Director de Marketing;Dr.;Fernando Matos
449001155;46460;NOVARTIS FARMA - PRODUTOS FARMACÊUTICOS, S.A.;RUA DO CENTRO EMPRESARIAL, EDIFÍCIO 8 - QUINTA DA BELOURA;SINTRA;2710-444;SINTRA;SINTRA;LISBOA;210008600;210008606;novartis.portugal@pharma.novartis.com;www.novartis.com;500063524;143990554.3;279;Director de Marketing;Dra.;Cristina Campos
449205426;36001;EPAL - EMPRESA PORTUGUESA DAS ÁGUAS LIVRES, S.A.;AVENIDA LIBERDADE, 24;LISBOA;1250-144;LISBOA;LISBOA;LISBOA;213251000;213251397;info@epal.pt;www.epal.pt;500906840;143526457;795;Director de Marketing;Dr.;José Manuel Zenha
453946980;47711;CACETINHO - COMÉRCIO RETALHISTA E EXPLORAÇÃO DE CENTROS COMERCIAIS, S.A.;RUA JOÃO MENDONÇA, 505 - EDIFÍCIO SONAE;SENHORA DA HORA;4460-334;SENHORA DA HORA;MATOSINHOS;PORTO;229561899;229561801;ammarques@sonae.pt;www.modelocontinente.pt;502827750;143431228.3;1029;Director de Marketing;Dr.;Jose Fortunato
452012743;60200;SIC - SOCIEDADE INDEPENDENTE DE COMUNICAÇÃO, S.A.;ESTRADA OUTURELA, 119;CARNAXIDE;2790-117;CARNAXIDE;OEIRAS;LISBOA;214179550;214174061;agenda@sic.pt;www.sic.pt;501940626;141494045;364;Director de Marketing;Enga.;Vanessa Romeu
509965815;46390;MANUEL NUNES & FERNANDES II, LDA;RUA DA BELA VISTA, 8 - ALTO DA BELA VISTA;AGUALVA-CACÉM;2735-184;AGUALVA-CACÉM;SINTRA;LISBOA;214788460;;mfernandes@manuelnunes.pt;www.manuelnunes.pt;507954971;139316588;516;Director de Marketing;Dra.;Sónia Nunes Lavrador
453112211;46510;SOLBI - SOCIEDADE LUSOBRITÂNICA DE INFORMÁTICA, LDA;RUA CASAL DO CANAS, 14;CARNAXIDE;2794-085;CARNAXIDE;OEIRAS;LISBOA;214249500;226108519;inf@solbi.pt;www.solbi.pt;501421971;139144991;115;Director de Marketing;;Francisco de Carvalho
449359454;47300;ALVES BANDEIRA & CA., LDA;AVENIDA EMÍDIO NAVARRO, 81 5ºA;COIMBRA;3000-151;COIMBRA;COIMBRA;COIMBRA;239851000;239851001;alvesband@mail.telepac.pt;www.alvesbandeira.pt;500433402;137142875.2;250;Director de Marketing;;Paulo Bandeira
449176692;46460;ABBOTT LABORATÓRIOS, LDA;ESTRADA DE ALFRAGIDE, 67 EDIFÍCIO  D - ALFRAPARK;AMADORA;2610-014;AMADORA;AMADORA;LISBOA;214727100;214711874;addportugal@abott.com;www.abott.com;500006148;136757292;297;Director de Marketing;;Carlos Sa
449083161;10611;CEREALIS - MOAGENS, S.A.;RUA MANUEL GONÇALVES LAGE, 988;MAIA;4425-122;MAIA;MAIA;PORTO;229014505;229011991;cerealis@cerealis.pt;www.milaneza.pt;500068070;135087633.1;194;Director de Marketing;Eng.;Carlos Botelho
449099621;11021;SOGRAPE VINHOS, S.A.;ALDEIA NOVA;AVINTES;4430-761;AVINTES;VILA NOVA DE GAIA;PORTO;227850300;227835769;info@sogrape.pt;www.sogrape.pt;500271615;132840244.2;642;Director de Marketing;Dr.;Raul Lello Ramos Pinto
455139881;47112;LFP - LOJAS FRANCAS DE PORTUGAL, S.A.;RUA C, EDIFÍCIO 10 PISO 0 - AEROPORTO DE LISBOA;LISBOA;1700-008;LISBOA;LISBOA;LISBOA;218525300;218525301;geral@lfp.pt;www.lfp.pt;503346128;132061498.4;306;Director de Marketing;;Filipa Manuela Dias Vale
450630173;80100;PROSEGUR - COMPANHIA DE SEGURANÇA, UNIPESSOAL, LDA;AVENIDA INFANTE DOM HENRIQUE, 326;LISBOA;1849-006;LISBOA;LISBOA;LISBOA;218362200;218362205;jose.ferreira@prosegur.pt;www.prosegur.pt;501290567;130880013.5;7118;Director de Marketing;Dra.;Elsa Santos
336408583;52211;LUSOSCUT - AUTO ESTRADAS DAS BEIRAS LITORAL E ALTA, S.A.;ESTRADA NACIONAL 231 - ESTRADA DE NELAS;TEIVAS;3500-883;VISEU;VISEU;VISEU;229997490;232997404;rsantos@aenor.pt;www.aenor.pt;505403900;130209002.1;21;Director de Marketing;Dra.;Susete Clarisse Coutinho Pires
449076439;46331;LONGA VIDA - INDÚSTRIAS LÁCTEAS, S.A.;RUA 9 DE JULHO;PERAFITA;4455-505;PERAFITA;MATOSINHOS;PORTO;229993300;239442399;porfirio.afonso@pt.nestle.com;www.nestle.pt;500011443;129870179.7;151;Director de Marketing;;Luciana Koschnick
449155415;21201;BIAL - PORTELA & CA., S.A.;AVENIDA DA SIDERURGIA NACIONAL;SÃO MAMEDE CORONADO;4745-457;SÃO MAMEDE CORONADO;TROFA;PORTO;229866100;229866190;info@bial.com;www.bial.com;500220913;128605081.9;237;Director de Marketing;Dr.;Alfredo Albuquerque
449103746;46450;JOHNSON & JOHNSON, LDA;ESTRADA CONSIGLIERI PEDROSO, 69A;QUELUZ DE BAIXO;2730-055;BARCARENA;OEIRAS;LISBOA;214368770;214360448;scjjpp@jnjpt.jnj.com;www.johnsonandjohnson.com;500153370;128018094.6;265;Director de Marketing;Dr.;João Araújo
452123391;46520;ALCATEL - LUCENT PORTUGAL, S.A.;ESTRADA MALVEIRA DA SERRA, 955;ALDEIA DE JUZO;2750-782;CASCAIS;CASCAIS;LISBOA;214859000;214859101;alu.portugal@alcatel-lucent.com;www.alcatel-lucent.com;500276862;127382257;199;Director de Marketing;;Jose Camões Vieira
457948198;60200;SPORT TV PORTUGAL, S.A.;RUA PEDRO E INÊS, LOTE 2.08.01. 2º;LISBOA;1998-024;LISBOA;LISBOA;LISBOA;218917800;218917900;geral@sporttv.pt;www.sporttv.pt;504121758;127354619.3;99;Director de Marketing;Eng.;Pedro Miguel de Chatelanaz Pires Mota Carmo
338232705;10520;IGLOOLA - DISTRIBUIÇÃO DE GELADOS E ULTRACONGELADOS, LDA;LARGO MONTERROIO MASCARENHAS, 1;LISBOA;1099-081;LISBOA;LISBOA;LISBOA;213892000;213892426;linha.verde@ola.pt;www.ola.pt;503933147;127169472.1;135;Director de Marketing;Dr.;Gonçalo Pombeiro
449115500;46720;FLORÊNCIO AUGUSTO CHAGAS, S.A.;AVENIDA JORGE MANUEL VIEIRA PEREIRA - ZONA INDUSTRIAL DO PAUL;TORRES VEDRAS;2564-910;TORRES VEDRAS;TORRES VEDRAS;LISBOA;261310141;261310199;geral@fachagas.pt;www.chagas.pt;500117152;126967075.2;309;Director de Marketing;Dra.;Inês Santos Vieira Pereira
454203852;46510;D.L.I. - DISTRIBUIÇÃO E LOGÍSTICA PARA A INFORMÁTICA, S.A.;COMPLEXO INDUSTRIAL OLIVAL DAS MINAS, LOTE 19;VIALONGA;2625-577;VIALONGA;VILA FRANCA DE XIRA;LISBOA;210426200;210426201;dep.marketing@dli.pt;www.dli.pt;502933712;126000000;55;Director de Marketing;;Luís Miguel de Matos Martinho Gonçalves
452624901;47523;BRICODIS - DISTRIBUIÇÃO DE BRICOLAGE, S.A.;AVENIDA CAVALEIROS, 70;CARNAXIDE;2790-045;CARNAXIDE;OEIRAS;LISBOA;214164000;214164005;miguel.almeida@aki.pt;www.aki.pt;502216069;125863681;1200;Director de Marketing;;Luis Caldas
449597665;38321;CONSTANTINO FERNANDES OLIVEIRA & FILHOS, S.A.;TRAVESSA SEADA, 471;PEDROSO;4415-343;PEDROSO;VILA NOVA DE GAIA;PORTO;227419190;227453828;constantino.fos@mail.telepac.pt;www.cfos.pt;500111553;124884675.4;89;Director de Marketing;Dr.;Nuno Silva
337558741;86100;INSTITUTO PORTUGUÊS DE ONCOLOGIA DO PORTO FRANCISCO GENTIL, E.P.E.;RUA DOUTOR ANTÓNIO BERNARDINO DE ALMEIDA;PORTO;4200-072;PORTO;PORTO;PORTO;225084000;225084027;diripo@ipoporto.min-saude.pt;www.ipoporto.min-saude.pt;506362299;124733759.2;1829;Director de Marketing;Dra.;Bárbara Guimarães
450190355;52230;SPDH - SERVIÇOS PORTUGUESES DE HANDLING, S.A.;AEROPORTO DE LISBOA, EDIFÍCIO 25, 6º;LISBOA;1700-008;LISBOA;LISBOA;LISBOA;218416888;218416241;welcome@groundforce.pt;www.groundforce.pt;506651649;123577876;2887;Director de Marketing;Dra.;Maria João Azevedo Paulo
454611203;10510;FROMAGERIES BEL PORTUGAL, S.A.;ESTRADA REGIONAL - MATRIZ;RIBEIRA GRANDE;9600-549;RIBEIRA GRANDE;RIBEIRA GRANDE;PONTA DELGADA (ILHA DE SÃO MIGUEL);296470200;296470299;mrodrigues@groupe-bel.com;www.lacto-iberica.pt;503130630;123057444.7;678;Director de Marketing;Enga.;Paula Gomes
453734089;63110;LOGICATI PORTUGAL, S.A.;AVENIDA JOSÉ MALHOA, 16A 5º - EDIFÍCIO EUROPA;LISBOA;1070-159;LISBOA;LISBOA;LISBOA;210018000;211107620;info.pt@logica.com;www.logica.pt;502605731;121092349.4;816;Director de Marketing;;Rui Palma
449711019;25931;FAPRICELA - INDÚSTRIA DE TREFILARIA, S.A.;MANGA DA GRANJA;MANGA DA GRANJA;3060-071;ANÇÃ;CANTANHEDE;COIMBRA;239960130;239960139;dep.comercial@fapricela.pt;www.fapricela.pt;500643130;120836187;304;Director de Marketing;Dr.;Pedro Miguel da Silva Teixeira
449843523;46720;J.SOARES CORREIA - ARMAZÉNS DE FERRO, S.A.;RUA DO OUTEIRO - FOLGOSA;MAIA;4425-357;MAIA;MAIA;PORTO;229865700;212382914;jsc@jsoarescorreia.pt;www.jsoarescorreia.pt;500029857;120564382.8;142;Director de Marketing;Dr.;Gonçalo de Carvalho Correia dos Santos
